"product_id","category_id","depth","name_tr","name_en"
"4278","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4279","205","0","İç Aydınlatma","Indoor Lighting"
"4279","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4280","205","0","İç Aydınlatma","Indoor Lighting"
"4280","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4281","205","0","İç Aydınlatma","Indoor Lighting"
"4281","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4282","205","0","İç Aydınlatma","Indoor Lighting"
"4282","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4283","205","0","İç Aydınlatma","Indoor Lighting"
"4283","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4284","205","0","İç Aydınlatma","Indoor Lighting"
"4284","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4285","205","0","İç Aydınlatma","Indoor Lighting"
"4285","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4286","205","0","İç Aydınlatma","Indoor Lighting"
"4286","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4287","205","0","İç Aydınlatma","Indoor Lighting"
"4287","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4288","205","0","İç Aydınlatma","Indoor Lighting"
"4288","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4289","205","0","İç Aydınlatma","Indoor Lighting"
"4289","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4290","205","0","İç Aydınlatma","Indoor Lighting"
"4290","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4291","205","0","İç Aydınlatma","Indoor Lighting"
"4291","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4292","205","0","İç Aydınlatma","Indoor Lighting"
"4292","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4293","205","0","İç Aydınlatma","Indoor Lighting"
"4293","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4294","205","0","İç Aydınlatma","Indoor Lighting"
"4294","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4295","205","0","İç Aydınlatma","Indoor Lighting"
"4295","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4296","205","0","İç Aydınlatma","Indoor Lighting"
"4296","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4297","205","0","İç Aydınlatma","Indoor Lighting"
"4297","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4298","205","0","İç Aydınlatma","Indoor Lighting"
"4298","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4299","205","0","İç Aydınlatma","Indoor Lighting"
"4299","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4300","205","0","İç Aydınlatma","Indoor Lighting"
"4300","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4301","205","0","İç Aydınlatma","Indoor Lighting"
"4301","215","1","Ledli Koridor Armatürleri ve Yıldız Spotlar","Led Corridor Lights &amp; Star Spot Lights"
"4302","205","0","İç Aydınlatma","Indoor Lighting"
